project_ID,img_type,reduction_ratio,photo_spread,img_count
ark_88435_6w924f447,photo_digital,,folio,177
ark_88435_9g54xh71j,photo_digital,,folio,148
ark_88435_5425kd96h,microfilm_digital,1:14,bifolio,136
ark_88435_6108vf53j,microfilm_digital,1:14,bifolio,102
ark_88435_cv43p164z,microfilm_digital,1:14,bifolio,158
ark_88435_dj52w7977,microfilm_digital,1:14,bifolio,186
ark_88435_dz010q113,photo_digital,,folio,258
ark_88435_m039k493g,photo_digital,,folio,172
ark_88435_r781wg07m,photo_digital,,folio,870
ark_88435_vm40xv207,photo_digital,,bifolio,107
ark_88435_wm117s27v,photo_digital,,folio,152
ark_88435_ww72bk845,photo_digital,,folio,308
ark_88435_xk81jp66g,microfilm_digital,1:14,bifolio,45
ark_88435_c534fs61g,photo_digital,,folio,132
ark_88435_dcm326mc70w,photo_digital,,folio,52
ark_88435_dcgq67k2749,photo_digital,,folio,116
ark_88435_wp988j87g,photo_digital,,folio,374
ark_88435_dc3j333d51f,photo_digital,,folio,260
ark_88435_z603qx459,photo_digital,,folio,100
ark_88435_np193924q,photo_digital,,folio,208
